id,PClass,Age,Gender,Survived,GenderCode,Name
155,1st,41.0,male,0,0,"Kenyon, Mr Frederick R"
156,1st,30.0,female,1,1,"Kenyon, Mrs Frederick R (Marion)"
157,1st,42.0,male,1,0,"Kimball, Mr Edwin Nelson Jr"
158,1st,40.0,female,1,1,"Kimball, Mrs Edwin Nelson Jr (Gertrude Parsons)"
159,1st,30.0,male,0,0,"Klaber, Mr Herman"
160,1st,30.0,female,1,1,"Leader, Dr Alice Farnham"
161,1st,30.0,male,0,0,"Lewy, Mr Ervin G"
162,1st,42.0,male,0,0,"Lindeberg-Lind, Mr Erik Gustaf"
163,1st,55.0,female,1,1,"Lindstrom, Mrs Carl Johan (Sigrid Posse)"
164,1st,50.0,female,1,1,"Lines, Mrs Ernest H (Elizabeth Lindsey James)"
165,1st,16.0,female,1,1,"Lines, Miss Mary Conover"
166,1st,30.0,male,0,0,"Lingrey, Mr Edward"
167,1st,29.0,male,0,0,"Long, Mr Milton Clyde"
168,1st,21.0,female,1,1,"Longley, Miss Gretchen Fiske"
169,1st,30.0,male,0,0,"Loring, Mr Joseph Holland"
170,1st,15.0,female,1,1,"Madill, Miss Georgette Alexandra"
171,1st,30.0,male,0,0,"Maguire, Mr John Edward"
172,1st,30.0,male,1,0,"Marechal, Mr Pierre"
173,1st,30.0,male,0,0,"Marvin, Mr Daniel Warner"
174,1st,30.0,female,1,1,"Marvin, Mrs Daniel Warner (Mary Graham Carmichael Farquarson)"
175,1st,46.0,male,0,0,"McCaffry, Mr Thomas Francis"
176,1st,54.0,male,0,0,"McCarthy, Mr Timothy J"
177,1st,36.0,male,1,0,"McGough, Mr James R"
178,1st,28.0,male,0,0,"Meyer, Mr Edgar Joseph"
179,1st,30.0,female,1,1,"Meyer, Mrs Edgar Joseph (Leila Saks)"
180,1st,65.0,male,0,0,"Millet, Mr Francis Davis"
181,1st,33.0,female,1,1,"Minahan, Miss Daisy E"
182,1st,44.0,male,0,0,"Minahan, Dr William Edward"
183,1st,37.0,female,1,1,"Minahan, Mrs William Edward (Lillian E Thorpe)"
184,1st,30.0,male,1,0,"Mock, Mr Philip E"
185,1st,55.0,male,0,0,"Molson, Mr Harry Markland"
186,1st,47.0,male,0,0,"Moore, Mr Clarence Bloomfield"
187,1st,36.0,male,0,0,"Natsch, Mr Charles H"
188,1st,58.0,male,0,0,"Newell, Mr Arthur Webster"
189,1st,31.0,female,1,1,"Newell, Miss Madeleine"
190,1st,23.0,female,1,1,"Newell, Miss Marjorie"
191,1st,19.0,female,1,1,"Newsom, Miss Helen Monypeny"
192,1st,64.0,male,0,0,"Nicholson, Mr Arthur Ernest"
193,1st,30.0,male,1,0,"Omont, Mr A Fernand"
194,1st,64.0,male,0,0,"Ostby, Mr Engelhart Cornelius"
195,1st,22.0,female,1,1,"Ostby, Miss Helen Raghnild"
196,1st,28.0,male,0,0,"Ovies y Rodriguez, Mr Servando"
197,1st,30.0,male,0,0,"Parr, Mr William Henry Marsh"
198,1st,30.0,male,0,0,"Partner, Mr Austin"
199,1st,22.0,male,0,0,"Payne, Mr Vivian Ponsonby"
200,1st,30.0,male,0,0,"Pears, Mr Thomas"
201,1st,30.0,female,1,1,"Pears, Mrs Thomas (Edith)"
202,1st,18.0,male,0,0,"Penasco, Mr Victor de Satode"
203,1st,17.0,female,1,1,"Penasco, Mrs Victor de Satode (Josefa de Soto)"
204,1st,52.0,male,1,0,"Peuchen, Major Arthur Godfrey"
205,1st,46.0,male,0,0,"Porter, Mr Walter Chamberlain"
206,1st,56.0,female,1,1,"Potter, Mrs Thomas, Jr (Lily Alexenia Wilson)"
207,1st,30.0,male,0,0,"Reuchlin, Jonkheer John George"
208,1st,30.0,male,1,0,"Rheims, Mr George Lucien"
209,1st,43.0,female,1,1,"Robert, Mrs Edward Scott (Elisabeth Walton McMillan)"
210,1st,31.0,male,0,0,"Roebling, Mr Washington Augustus 2nd"
211,1st,30.0,male,1,0,"Romaine, Mr Charles Hallace"
212,1st,30.0,male,0,0,"Rood, Mr Hugh R"
213,1st,33.0,female,1,1,"Rosenbaum (Russell), Miss Edith Louise"
214,1st,30.0,male,0,0,"Ross, Mr John Hugo"
215,1st,27.0,female,1,1,"Rothes, the Countess of (Noel Lucy Martha Dyer-Edwardes)"
216,1st,55.0,male,0,0,"Rothschild, Mr Martin"
217,1st,54.0,female,1,1,"Rothschild, Mrs Martin (Elizabeth L Barrett)"
218,1st,30.0,male,0,0,"Rowe, Mr Alfred G"
219,1st,61.0,male,0,0,"Ryerson, Mr Arthur Larned"
220,1st,48.0,female,1,1,"Ryerson, Mrs Arthur Larned (Emily Maria Borie)"
221,1st,18.0,female,1,1,"Ryerson, Miss Emily Borie"
222,1st,13.0,male,1,0,"Ryerson, Master John Borie"
223,1st,21.0,female,1,1,"Ryerson, Miss Susan (Suzette) Parker"
224,1st,30.0,male,1,0,"Saalfeld, Mr Adolphe"
225,1st,30.0,male,1,0,"Salomon, Mr Abraham L"
226,1st,30.0,female,1,1,"Schabert, Mrs Paul (Emma Mock)"
227,1st,34.0,male,1,0,"Seward, Mr Frederic Kimber"
228,1st,40.0,female,1,1,"Shutes, Miss Elizabeth W"
229,1st,36.0,male,1,0,"Silverthorne, Mr Spencer Victor"
230,1st,50.0,male,0,0,"Silvey, Mr William Baird"
231,1st,39.0,female,1,1,"Silvey, Mrs William Baird (Alice Munger)"
232,1st,56.0,male,1,0,"Simonius-Blumer, Col Alfons"
233,1st,28.0,male,1,0,"Sloper, Mr William Thompson"
234,1st,56.0,male,0,0,"Smart, Mr John Montgomery"
235,1st,56.0,male,0,0,"Smith, Mr James Clinch"
236,1st,24.0,male,0,0,"Smith, Mr Lucien Philip"
237,1st,18.0,female,1,1,"Smith, Mrs Lucien Philip (Mary Eloise Hughes"
238,1st,30.0,male,0,0,"Smith, Mr Richard William"
239,1st,24.0,male,1,0,"Snyder, Mr John Pillsbury"
240,1st,23.0,female,1,1,"Snyder, Mrs John Pillsbury (Nelle Stevenson)"
241,1st,45.0,male,1,0,"Spedden, Mr Frederick Oakley"
242,1st,40.0,female,1,1,"Spedden, Mrs Frederick Oakley (Margaretta Corning Stone)"
243,1st,6.0,male,1,0,"Spedden, Master Robert Douglas"
244,1st,57.0,male,0,0,"Spencer, Mr William Augustus"
245,1st,30.0,female,1,1,"Spencer, Mrs William Augustus (Marie Eugenie)"
246,1st,32.0,male,1,0,"Staehlin, Dr Max"
247,1st,62.0,male,0,0,"Stead, Mr William Thomas"
248,1st,54.0,male,1,0,"Stengel, Mr Charles Emil Henry"
249,1st,43.0,female,1,1,"Stengel, Mrs Charles Emil Henry (Annie May Morris)"
250,1st,52.0,female,1,1,"Stephenson, Mrs Walter Bertram (Martha Eustis)"
251,1st,30.0,male,0,0,"Stewart, Mr Albert A"
252,1st,62.0,female,1,1,"Stone, Mrs George Nelson (Martha E)"
253,1st,67.0,male,0,0,"Straus, Mr Isidor"
254,1st,63.0,female,0,1,"Straus, Mrs Isidor (Ida Blun)"
255,1st,61.0,male,0,0,"Sutton, Mr Frederick"
256,1st,46.0,female,1,1,"Swift, Mrs Frederick Joel (Margaret Welles Barron)"
257,1st,52.0,male,0,0,"Taussig, Mr Emil"
258,1st,39.0,female,1,1,"Taussig, Mrs Emil (Tillie Mandelbaum)"
259,1st,18.0,female,1,1,"Taussig, Miss Ruth"
260,1st,48.0,male,1,0,"Taylor, Mr Elmer Zebley"
261,1st,30.0,female,1,1,"Taylor, Mrs Elmer Zebley (Juliet Cummins Wright)"
262,1st,49.0,male,0,0,"Thayer, Mr John Borland"
263,1st,39.0,female,1,1,"Thayer, Mrs John Borland (Marian Longstreth Morris)"
264,1st,17.0,male,1,0,"Thayer, Mr John Borland, jr"
265,1st,46.0,male,0,0,"Thorne, Mr George (alias of: Mr George Rosenshine)"
266,1st,30.0,female,1,1,"Thorne, Mrs Gertrude Maybelle"
267,1st,31.0,male,1,0,"Tucker, Mr Gilbert Milligan, jr"
268,1st,30.0,male,0,0,"Uruchurtu, Mr Manuel E"
269,1st,61.0,male,0,0,"Van Derhoef, Mr Wyckoff"
270,1st,47.0,male,0,0,"Walker, Mr William Anderson"
271,1st,64.0,male,0,0,"Warren, Mr Frank Manley"
272,1st,60.0,female,1,1,"Warren, Mrs Frank Manley (Anna S Atkinson)"
273,1st,60.0,male,0,0,"Weir, Col John"
274,1st,55.0,female,1,1,"White, Mrs J Stuart (Ella Holmes)"
275,1st,54.0,male,0,0,"White, Mr Percival Wayland"
276,1st,21.0,male,0,0,"White, Mr Richard Frasar"
277,1st,57.0,male,0,0,"Wick, Mr George Dennick"
278,1st,45.0,female,1,1,"Wick, Mrs George Dennick (Martha Hitchcock)"
279,1st,31.0,female,1,1,"Wick, Miss Mary Natalie"
280,1st,50.0,male,0,0,"Widener, Mr George Dunton"
281,1st,50.0,female,1,1,"Widener, Mrs George Dunton (Eleanor Elkins)"
282,1st,27.0,male,0,0,"Widener, Mr Harry Elkins"
283,1st,20.0,female,1,1,"Willard, Miss Constance"
284,1st,51.0,male,0,0,"Williams, Mr Charles Duane"
285,1st,30.0,male,0,0,"Williams, Mr Fletcher Lambert"
286,1st,21.0,male,1,0,"Williams, Mr Richard Norris II"
287,1st,30.0,male,1,0,"Woolner, Mr Hugh"
288,1st,30.0,male,0,0,"Wright, Mr George"
289,1st,36.0,female,1,1,"Young, Miss Marie Grice"
290,1st,30.0,female,1,1,"Barber, Ms "
291,1st,30.0,female,1,1,"Bazzani, Ms Albina"
292,1st,30.0,female,1,1,"Bidois, Miss Rosalie"
293,1st,30.0,female,1,1,"Bird, Ms Ellen"
294,1st,30.0,female,1,1,"Bissetti, Ms Amelia"
295,1st,30.0,female,1,1,"Burns, Ms Elizabeth Margaret"
296,1st,30.0,female,1,1,"Chaudanson, Ms         Victorine"
297,1st,30.0,female,1,1,"Cleaver, Ms Alice"
298,1st,30.0,female,1,1,"Daniels, Ms Sarah"
299,1st,30.0,female,1,1,"Endres, Miss Caroline Louise"
300,1st,30.0,male,0,0,"Farthing, Mr John"
301,1st,30.0,female,0,1,"Fleming, Ms Margaret"
302,1st,30.0,female,1,1,"Francatelli, Ms Laura Mabel"
303,1st,30.0,male,0,0,"Fry, Mr Richard"
304,1st,30.0,female,1,1,"Geiger, Miss Emily "
305,1st,30.0,male,0,0,"Giglio, Mr Victor"
306,1st,30.0,male,0,0,"Harrington, Mr Charles"
307,1st,40.0,male,0,0,"Harrison, Mr William   Henry"
308,1st,30.0,male,0,0,"Hassah, Mr Hamad"
309,1st,30.0,female,1,1,"Icabad (Icabod), Ms"
310,1st,32.0,male,0,0,"Keeping, Mr Edwin"
311,1st,30.0,female,1,1,"Kenchen, Ms Amelia"
312,1st,30.0,female,1,1,"LeRoy, Miss Berthe"
313,1st,30.0,male,0,0,"Lesneur, Mr Gustave"
314,1st,30.0,female,1,1,"Maloney, Ms"
315,1st,30.0,female,0,1,"Oliva, Mlle"
316,1st,30.0,female,1,1,"Pericault, Ms"
317,1st,33.0,male,0,0,"Ringhini, Mr Sante"
318,1st,30.0,male,0,0,"Robbins, Mr Victor"
319,1st,30.0,female,1,1,"Segesser, Mlle Emma"
320,1st,30.0,female,0,1,"Seredeca, Ms"
321,1st,30.0,female,0,1,"Ward, Ms Anna"
322,1st,30.0,female,1,1,"Wilson, Ms Helen"
323,2nd,30.0,male,0,0,"Abelson, Mr Samuel"
324,2nd,28.0,female,1,1,"Abelson, Mrs Samuel (Anna)"
325,2nd,18.0,male,0,0,"Andrew, Mr Edgar Samuel"
326,2nd,30.0,male,0,0,"Andrew, Mr Frank"
327,2nd,34.0,male,0,0,"Angle, Mr William A"
328,2nd,32.0,female,1,1,"Angle, Mrs William A (Florence)"
329,2nd,57.0,male,0,0,"Ashby, Mr John"
330,2nd,18.0,male,0,0,"Bailey, Mr Percy Andrew"
331,2nd,23.0,male,0,0,"Baimbrigge, Mr Charles R"
332,2nd,36.0,female,1,1,"Balls, Mrs Ada E Hall"
333,2nd,28.0,male,0,0,"Banfield, Mr Frederick J"
334,2nd,51.0,male,0,0,"Bateman, Rev Robert James"
335,2nd,32.0,male,1,0,"Beane, Mr Edward"
336,2nd,19.0,female,1,1,"Beane, Mrs Edward (Ethel Clarke)"
337,2nd,28.0,male,0,0,"Beauchamp, Mr Henry James"
338,2nd,36.0,female,1,1,"Becker, Mrs Allen Oliver (Nellie E Baumgardner)"
339,2nd,4.0,female,1,1,"Becker, Miss Marion Louise"
340,2nd,1.0,male,1,0,"Becker, Master Richard F"
341,2nd,12.0,female,1,1,"Becker, Miss Ruth Elizabeth"
342,2nd,34.0,male,1,0,"Beesley, Mr Lawrence"
343,2nd,19.0,female,1,1,"Bentham, Miss Lilian W"
344,2nd,23.0,male,0,0,"Berriman, Mr William S"
345,2nd,26.0,male,0,0,"Botsford, Mr William Hull"
346,2nd,30.0,male,0,0,"Bowenur, Mr Solomon"
347,2nd,27.0,male,0,0,"Bracken, Mr James H"
348,2nd,15.0,female,1,1,"Brown, Miss Edith E"
349,2nd,45.0,male,0,0,"Brown, Mr Thomas William Solomon"
350,2nd,40.0,female,1,1,"Brown, Mrs Thomas William Solomon (Elizabeth C)"
351,2nd,20.0,female,1,1,"Bryhl, Miss Dagmar"
352,2nd,25.0,male,0,0,"Bryhl, Mr Kurt Arnold Gottfrid"
353,2nd,36.0,female,1,1,"Buss, Miss Kate"
354,2nd,25.0,male,0,0,"Butler, Mr Reginald Fenton"
355,2nd,30.0,male,0,0,"Byles, Rev Thomas Roussel D"
356,2nd,42.0,female,1,1,"Bystrom, Mrs Carolina"
357,2nd,26.0,male,1,0,"Caldwell, Mr Albert Francis"
358,2nd,26.0,female,1,1,"Caldwell, Mrs Albert Francis (Sylvia Mae Harbaugh)"
359,2nd,0.83,male,1,0,"Caldwell, Master Alden Gates"
360,2nd,31.0,female,1,1,"Cameron, Miss Clear"
361,2nd,30.0,male,0,0,"Campbell, Mr William"
362,2nd,19.0,male,0,0,"Carbines, Mr William"
363,2nd,54.0,male,0,0,"Carter, Rev Ernest Courtenay"
364,2nd,44.0,female,0,1,"Carter, Mrs Ernest Courtenay (Lillian Hughes)"
365,2nd,52.0,male,0,0,"Chapman, Mr Charles Henry"
366,2nd,30.0,male,0,0,"Chapman, Mr John Henry"
367,2nd,30.0,female,0,1,"Chapman, Mrs John Henry (Elizabeth Lawry)"
368,2nd,30.0,female,1,1,"Christy, Mrs Alice Frances"
369,2nd,30.0,female,1,1,"Christy, Miss Julie"
370,2nd,29.0,male,0,0,"Clarke, Mr Charles V"
371,2nd,30.0,female,1,1,"Clarke, Mrs Charles V (Ada Maria)"
372,2nd,29.0,male,0,0,"Coleridge, Mr Reginald Charles"
373,2nd,27.0,male,0,0,"Collander, Mr Erik"
374,2nd,24.0,male,1,0,"Collett, Mr Sidney C Stuart"
375,2nd,35.0,male,0,0,"Collyer, Mr Harvey"
376,2nd,31.0,female,1,1,"Collyer, Mrs Harvey (Charlotte Tate)"
377,2nd,8.0,female,1,1,"Collyer, Miss Marjorie"
378,2nd,22.0,female,0,1,"Cook, Mrs Selena Rogers"
379,2nd,30.0,female,0,1,"Corbett, Mrs Walter H (Irene Colvin)"
380,2nd,30.0,female,0,1,"Corey, Mrs Percy C (Mary Phyllis Elizabeth Miller)"
381,2nd,20.0,male,0,0,"Cotterill, Mr Harry"
382,2nd,30.0,male,0,0,"Cunningham, Mr Alfred Fleming"
383,2nd,21.0,male,0,0,"Davies, Mr Charles Henry"
384,2nd,49.0,female,1,1,"Davis, Mrs Agnes"
385,2nd,8.0,male,1,0,"Davis, Master John Morgan"
386,2nd,28.0,female,1,1,"Davis, Miss Mary"
387,2nd,18.0,male,0,0,"Deacon, Mr Percy"
388,2nd,30.0,male,0,0,"de Brito, Mr Jose Joaquim"
389,2nd,28.0,male,0,0,"del Carlo, Mr Sebastiano"
390,2nd,22.0,female,1,1,"del Carlo, Mrs Sebastiano (Argenia Genovese)"
391,2nd,25.0,male,0,0,"Denbury, Mr Herbert"
392,2nd,18.0,male,0,0,"Dibden, Mr William"
393,2nd,32.0,female,1,1,"Doling, Mrs Ada"
394,2nd,18.0,female,1,1,"Doling, Miss Elsie"
395,2nd,30.0,male,0,0,"Downton (?Douton), Mr William James"
396,2nd,42.0,male,0,0,"Drew, Mr James Vivian"
397,2nd,34.0,female,1,1,"Drew, Mrs James Vivian (Lulu Thorne Christian)"
398,2nd,8.0,male,1,0,"Drew, Master Marshall Brines"
399,2nd,30.0,female,1,1,"Duran y More, Miss Asuncion"
400,2nd,30.0,female,1,1,"Duran y More, Miss Florentina"
401,2nd,23.0,male,0,0,"Eitemiller, Mr George Floyd"
402,2nd,21.0,male,0,0,"Enander, Mr Ingvar"
403,2nd,19.0,male,0,0,"Fahlstrom, Mr Arne Jonas"
